Team Cohere, :, Aakanksha and 227 more,neither
Think Before You Diffuse: LLMs-Guided Physics-Aware Video Generation,neither,,
Uncovering Bottlenecks and Optimizing Scientific Lab Workflows with Cycle Time Reduction Agents,neither,,
BLEUBERI: BLEU is a surprisingly effective reward for instruction following,neither,,
A Survey of LLM $\times$ DATA,neither,,
SCRum-9: Multilingual Stance Classification over Rumours on Social Media,neither,,
Capability-Based Scaling Laws for LLM Red-Teaming,neither,,
R3: Robust Rubric-Agnostic Reward Models,neither,,
Business as Rulesual: A Benchmark and Framework for Business Rule Flow Modeling with LLMs,neither,,
Dynamic Risk Assessments for Offensive Cybersecurity Agents,neither,,
Benchmarking Poisoning Attacks against Retrieval-Augmented Generation,neither,,
Reasoning Model is Stubborn: Diagnosing Instruction Overriding in Reasoning Models,neither,,
Towards Robust Evaluation of STEM Education: Leveraging MLLMs in Project-Based Learning,neither,,
Towards Embodiment Scaling Laws in Robot Locomotion,neither,,
WebGen-Bench: Evaluating LLMs on Generating Interactive and Functional Websites from Scratch,neither,,
Comparing Exploration-Exploitation Strategies of LLMs and Humans: Insights from Standard Multi-armed Bandit Tasks,neither,,
Analysing Safety Risks in LLMs Fine-Tuned with Pseudo-Malicious Cyber Security Data,neither,,
Lifelong Safety Alignment for Language Models,neither,,
Do LLMs have a Gender (Entropy) Bias?,neither,,
CRMArena-Pro: Holistic Assessment of LLM Agents Across Diverse Business Scenarios and Interactions,neither,,
Personalized Safety in LLMs: A Benchmark and A Planning-Based Agent Approach,neither,,
Personalisation or Prejudice? Addressing Geographic Bias in Hate Speech Detection using Debias Tuning in Large Language Models,neither,,
Can Language Models Understand Social Behavior in Clinical Conversations?,neither,,
Symbol-based entity marker highlighting for enhanced text mining in materials science with generative AI,neither,,
FloE: On-the-Fly MoE Inference on Memory-constrained GPU,neither,,
LLM Access Shield: Domain-Specific LLM Framework for Privacy Policy Compliance,neither,,
EasyDistill: A Comprehensive Toolkit for Effective Knowledge Distillation of Large Language Models,neither,,
SWE-rebench: An Automated Pipeline for Task Collection and Decontaminated Evaluation of Software Engineering Agents,neither,,
SWE-Dev: Evaluating and Training Autonomous Feature-Driven Software Development,neither,,
ExeSQL: Self-Taught Text-to-SQL Models with Execution-Driven Bootstrapping for SQL Dialects,neither,,
SALMONN-omni: A Standalone Speech LLM without Codec Injection for Full-duplex Conversation,neither,,
SELF: Self-Extend the Context Length With Logistic Growth Function,neither,,
PsyMem: Fine-grained psychological alignment and Explicit Memory Control for Advanced Role-Playing LLMs,neither,,
Automated scientific minimization of regret,neither,,
Rethinking Agent Design: From Top-Down Workflows to Bottom-Up Skill Evolution,neither,,
"Granziol, Diego",neither,,
Reinforcement Learning Finetunes Small Subnetworks in Large Language Models,neither,,
Rethinking Optimal Verification Granularity for Compute-Efficient Test-Time Scaling,neither,,
Behavior Injection: Preparing Language Models for Reinforcement Learning,neither,,
Exploring the Vulnerability of the Content Moderation Guardrail in Large Language Models via Intent Manipulation,neither,,
"Invisible Tokens, Visible Bills: The Urgent Need to Audit Hidden Operations in Opaque LLM Services",neither,,
Local Mixtures of Experts: Essentially Free Test-Time Training via Model Merging,neither,,
Emotional Supporters often Use Multiple Strategies in a Single Turn,neither,,
Optimizing Retrieval Augmented Generation for Object Constraint Language,neither,,
$C^3$-Bench: The Things Real Disturbing LLM based Agent in Multi-Tasking,neither,,
LLM-QFL: Distilling Large Language Model for Quantum Federated Learning,neither,,
TAT-R1: Terminology-Aware Translation with Reinforcement Learning and Word Alignment,neither,,
Assessing the Chemical Intelligence of Large Language Models,neither,,
AGI-Elo: How Far Are We From Mastering A Task?,neither,,
DRA-GRPO: Exploring Diversity-Aware Reward Adjustment for R1-Zero-Like Training of Large Language Models,neither,,
Contextual Phenotyping of Pediatric Sepsis Cohort Using Large Language Models,neither,,
HessFormer: Hessians at Foundation Scale,neither,,
Shadow-FT: Tuning Instruct via Base,neither,,
Do Not Let Low-Probability Tokens Over-Dominate in RL for LLMs,neither,,
FLASH-D: FlashAttention with Hidden Softmax Division,neither,,
Speculative Decoding Meets Quantization: Compatibility Evaluation and Hierarchical Framework Design,neither,,
DIP-R1: Deep Inspection and Perception with RL Looking Through and Understanding Complex Scenes,neither,,
EL4NER: Ensemble Learning for Named Entity Recognition via Multiple Small-Parameter Large Language Models,neither,,
Activation-Guided Consensus Merging for Large Language Models,neither,,
Scaling Laws for State Dynamics in Large Language Models,neither,,
Can Large Language Models Understand Internet Buzzwords Through User-Generated Content,neither,,
T2I-ConBench: Text-to-Image Benchmark for Continual Post-training,neither,,
Children's Mental Models of AI Reasoning: Implications for AI Literacy Education,neither,,
OpenEthics: A Comprehensive Ethical Evaluation of Open-Source Generative Large Language Models,neither,,
AGENTIF: Benchmarking Instruction Following of Large Language Models in Agentic Scenarios,neither,,
Interactive Post-Training for Vision-Language-Action Models,neither,,
DanmakuTPPBench: A Multi-modal Benchmark for Temporal Point Process Modeling and Understanding,neither,,
CoTGuard: Using Chain-of-Thought Triggering for Copyright Protection in Multi-Agent LLM Systems,neither,,
Benchmarking LLMs' Swarm intelligence,neither,,
Architectural Precedents for General Agents using Large Language Models,neither,,
Superposition Yields Robust Neural Scaling,neither,,
Can Large Language Models Trigger a Paradigm Shift in Travel Behavior Modeling? Experiences with Modeling Travel Satisfaction,neither,,
When Thinking Fails: The Pitfalls of Reasoning for Instruction-Following in LLMs,neither,,
ALAS: A Stateful Multi-LLM Agent Framework for Disruption-Aware Planning,neither,,
EpiLLM: Unlocking the Potential of Large Language Models in Epidemic Forecasting,neither,,
How Should We Enhance the Safety of Large Reasoning Models: An Empirical Study,neither,,
Leveraging Large Language Models for Command Injection Vulnerability Analysis in Python: An Empirical Study on Popular Open-Source Projects,neither,,
Harnessing Caption Detailness for Data-Efficient Text-to-Image Generation,neither,,
SEPS: A Separability Measure for Robust Unlearning in LLMs,neither,,
How Can I Publish My LLM Benchmark Without Giving the True Answers Away?,neither,,
Not that Groove: Zero-Shot Symbolic Music Editing,neither,,
Audio Turing Test: Benchmarking the Human-likeness of Large Language Model-based Text-to-Speech Systems in Chinese,neither,,
RL in Name Only? Analyzing the Structural Assumptions in RL post-training for LLMs,neither,,
Beyond Semantics: The Unreasonable Effectiveness of Reasonless Intermediate Tokens,neither,,
Pass@K Policy Optimization: Solving Harder Reinforcement Learning Problems,neither,,
X-WebAgentBench: A Multilingual Interactive Web Benchmark for Evaluating Global Agentic System,neither,,
Frankentext: Stitching random text fragments into long-form narratives,neither,,
One RL to See Them All: Visual Triple Unified Reinforcement Learning,neither,,
Learning to Choose or Choosing to Learn: Best-of-N vs. Supervised Fine-Tuning for Bit String Generation,neither,,
PD$^3$: A Project Duplication Detection Framework via Adapted Multi-Agent Debate,neither,,
T$^2$: An Adaptive Test-Time Scaling Strategy for Contextual Question Answering,neither,,
LaViDa: A Large Diffusion Language Model for Multimodal Understanding,neither,,
UFT: Unifying Supervised and Reinforcement Fine-Tuning,neither,,
OrgAccess: A Benchmark for Role Based Access Control in Organization Scale LLMs,neither,,
CODE-DITING: A Reasoning-Based Metric for Functional Alignment in Code Evaluation,neither,,
Knoll: Creating a Knowledge Ecosystem for Large Language Models,neither,,
Jailbreak Distillation: Renewable Safety Benchmarking,neither,,
VNJPTranslate: A comprehensive pipeline for Vietnamese-Japanese translation,neither,,
GraphMaster: Automated Graph Synthesis via LLM Agents in Data-Limited Environments,neither,,
Accelerating RLHF Training with Reward Variance Increase,neither,,
Foundation Models in Agriculture: A Comprehensive Review,neither,,
Can LLMs Generate Tabular Summaries of Science Papers? Rethinking the Evaluation Protocol,neither,,
Leveraging Language Models for Automated Patient Record Linkage,neither,,
Private Federated Learning using Preference-Optimized Synthetic Data,neither,,
BadMoE: Backdooring Mixture-of-Experts LLMs via Optimizing Routing Triggers and Infecting Dormant Experts,neither,,
GenTorrent: Scaling Large Language Model Serving with An Overley Network,neither,,
Phi-4-reasoning Technical Report,neither,,
Token Level Routing Inference System for Edge Devices,neither,,
Echo Chamber: RL Post-training Amplifies Behaviors Learned in Pretraining,neither,,
PestMA: LLM-based Multi-Agent System for Informed Pest Management,neither,,
ProbRes: Probabilistic Jump Diffusion for Open-World Egocentric Activity Recognition,neither,,
Do LLM Evaluators Prefer Themselves for a Reason?,neither,,
OmniCaptioner: One Captioner to Rule Them All,neither,,
Automating quantum feature map design via large language models,neither,,
ControlNET: A Firewall for RAG-based LLM System,neither,,
Robustly identifying concepts introduced during chat fine-tuning using crosscoders,neither,,
Short-PHD: Detecting Short LLM-generated Text with Topological Data Analysis After Off-topic Content Insertion,neither,,
"TheBlueScrubs-v1, a comprehensive curated medical dataset derived from the internet",neither,,
Multi-Mission Tool Bench: Assessing the Robustness of LLM based Agents through Related and Dynamic Missions,neither,,
Multimodal Fusion and Vision-Language Models: A Survey for Robot Vision,neither,,
VLM as Policy: Common-Law Content Moderation Framework for Short Video Platform,neither,,
Contemplative Wisdom for Superalignment,neither,,
"Chitra, Tarun",neither,,
Evaluating the Diversity and Quality of LLM Generated Content,neither,,
Energy Considerations of Large Language Model Inference and Efficiency Optimizations,neither,,
Contextures: The Mechanism of Representation Learning,neither,,
"Zhai, Runtian",neither,,
Context-Enhanced Vulnerability Detection Based on Large Language Model,neither,,
IberBench: LLM Evaluation on Iberian Languages,neither,,
Z1: Efficient Test-time Scaling with Code,neither,,
Integrating Large Language Models for Automated Structural Analysis,neither,,
Stop Anthropomorphizing Intermediate Tokens as Reasoning/Thinking Traces!,neither,,
Meta-rater: A Multi-dimensional Data Selection Method for Pre-training Language Models,neither,,
A Multimedia Analytics Model for the Foundation Model Era,neither,,
Towards Effective EU E-Participation: The Development of AskThePublic,neither,,
Adversarial Training of Reward Models,neither,,
BenchQC -- Scalable and modular benchmarking of industrial quantum computing applications,neither,,
F5R-TTS: Improving Flow-Matching based Text-to-Speech with Group Relative Policy Optimization,neither,,
Understanding Aha Moments: from External Observations to Internal Mechanisms,neither,,
LLM Library Learning Fails: A LEGO-Prover Case Study,neither,,
scAgent: Universal Single-Cell Annotation via a LLM Agent,neither,,
LagKV: Lag-Relative Information of the KV Cache Tells Which Tokens Are Important,neither,,
Schemex: Interactive Structural Abstraction from Examples with Contrastive Refinement,neither,,
The Role of Open-Source LLMs in Shaping the Future of GeoAI,neither,,
LawFlow : Collecting and Simulating Lawyers' Thought Processes,neither,,
"Schneider, Johannes",neither,,
"CodeFlowBench: A Multi-turn, Iterative Benchmark for Complex Code Generation",neither,,
Command A: An Enterprise-Ready Large Language Model,neither,,
FingER: Content Aware Fine-grained Evaluation with Reasoning for AI-Generated Videos,neither,,
Heimdall: test-time scaling on the generative verification,neither,,
Exploring Persona-dependent LLM Alignment for the Moral Machine Experiment,neither,,
ToolRL: Reward is All Tool Learning Needs,neither,,
"Wangni, Jianqiao",neither,,
SocioVerse: A World Model for Social Simulation Powered by LLM Agents and A Pool of 10 Million Real-World Users,neither,,
FinDER: Financial Dataset for Question Answering and Evaluating Retrieval-Augmented Generation,neither,,
Affordable AI Assistants with Knowledge Graph of Thoughts,neither,,
Among Us: A Sandbox for Measuring and Detecting Agentic Deception,neither,,
Astrometric Parallax Measurements with JWST for Localization of Near-Earth Objects,neither,,
Covert Prompt Transmission for Secure Large Language Model Services,neither,,
Multilingual and Multi-Accent Jailbreaking of Audio LLMs,neither,,
T1: Tool-integrated Self-verification for Test-time Compute Scaling in Small Language Models,neither,,
Weak-for-Strong: Training Weak Meta-Agent to Harness Strong Executors,neither,,
Foundation Models for Software Engineering of Cyber-Physical Systems: the Road Ahead,neither,,
CM3AE: A Unified RGB Frame and Event-Voxel/-Frame Pre-training Framework,neither,,
DRAGON: Distributional Rewards Optimize Diffusion Generative Models,neither,,
Doxing via the Lens: Revealing Privacy Leakage in Image Geolocation for Agentic Multi-Modal Large Reasoning Model,neither,,
ELT-Bench: An End-to-End Benchmark for Evaluating AI Agents on ELT Pipelines,neither,,
L3: DIMM-PIM Integrated Architecture and Coordination for Scalable Long-Context LLM Inference,neither,,
AegisLLM: Scaling Agentic Systems for Self-Reflective Defense in LLM Security,neither,,
CrystalFormer-RL: Reinforcement Fine-Tuning for Materials Design,neither,,
Multi-SWE-bench: A Multilingual Benchmark for Issue Resolving,neither,,
Geo-OLM: Enabling Sustainable Earth Observation Studies with Cost-Efficient Open Language Models & State-Driven Workflows,neither,,
COIG-P: A High-Quality and Large-Scale Chinese Preference Dataset for Alignment with Human Values,neither,,
Playpen: An Environment for Exploring Learning Through Conversational Interaction,neither,,
Unveiling Challenges for LLMs in Enterprise Data Engineering,neither,,
LangCoop: Collaborative Driving with Language,neither,,
"Xu, Tianbing",neither,,
GVPO: Group Variance Policy Optimization for Large Language Model Post-Training,neither,,
Confidence in Large Language Model Evaluation: A Bayesian Approach to Limited-Sample Challenges,neither,,
TP-RAG: Benchmarking Retrieval-Augmented Large Language Model Agents for Spatiotemporal-Aware Travel Planning,neither,,
SeaView: Software Engineering Agent Visual Interface for Enhanced Workflow,neither,,
Large Language Models as Span Annotators,neither,,
SLOs-Serve: Optimized Serving of Multi-SLO LLMs,neither,,
PRIMA.CPP: Speeding Up 70B-Scale LLM Inference on Low-Resource Everyday Home Clusters,neither,,
Enhancing Autonomous Driving Systems with On-Board Deployed Large Language Models,neither,,
Are AI agents the new machine translation frontier? Challenges and opportunities of single- and multi-agent systems for multilingual digital communication,neither,,
Dargana: fine-tuning EarthPT for dynamic tree canopy mapping from space,neither,,
Automatic Legal Writing Evaluation of LLMs,neither,,
"Wang, Yidong",neither,,
GlotEval: A Test Suite for Massively Multilingual Evaluation of Large Language Models,neither,,
PathGPT: Leveraging Large Language Models for Personalized Route Generation,neither,,
TAMP: Token-Adaptive Layerwise Pruning in Multimodal Large Language Models,neither,,
Recent Advance in 3D Object and Scene Generation: A Survey,neither,,
Adaptive Rectification Sampling for Test-Time Compute Scaling,neither,,
"Briva-Iglesias, Vicent",neither,,
Style over Substance: Distilled Language Models Reason Via Stylistic Replication,neither,,
Evaluating Knowledge Graph Based Retrieval Augmented Generation Methods under Knowledge Incompleteness,neither,,
ThinkFL: Self-Refining Failure Localization for Microservice Systems via Reinforcement Fine-Tuning,neither,,
CodeRAG: Supportive Code Retrieval on Bigraph for Real-World Code Generation,neither,,
TeLLMe: An Energy-Efficient Ternary LLM Accelerator for Prefilling and Decoding on Edge FPGAs,neither,,
A Strategic Coordination Framework of Small LLMs Matches Large LLMs in Data Synthesis,neither,,
"Lambert, Nathan",neither,,
Sugar-Coated Poison: Benign Generation Unlocks LLM Jailbreaking,neither,,
ShadowCoT: Cognitive Hijacking for Stealthy Reasoning Backdoors in LLMs,neither,,
On the Suitability of Reinforcement Fine-Tuning to Visual Tasks,neither,,
From 128K to 4M: Efficient Training of Ultra-Long Context Large Language Models,neither,,
ML For Hardware Design Interpretability: Challenges and Opportunities,neither,,
Large Language Model Empowered Recommendation Meets All-domain Continual Pre-Training,neither,,
Towards Optimal Circuit Generation: Multi-Agent Collaboration Meets Collective Intelligence,neither,,
SRPO: A Cross-Domain Implementation of Large-Scale Reinforcement Learning on LLM,neither,,
Towards NSFW-Free Text-to-Image Generation via Safety-Constraint Direct Preference Optimization,neither,,
Rethinking Reflection in Pre-Training,neither,,
OpenCodeInstruct: A Large-scale Instruction Tuning Dataset for Code LLMs,neither,,
VLM-R1: A Stable and Generalizable R1-style Large Vision-Language Model,neither,,
AlphaZero-Edu: Making AlphaZero Accessible to Everyone,neither,,
Kongzi: A Historical Large Language Model with Fact Enhancement,neither,,
A Survey on Efficient Vision-Language Models,neither,,
An LLM-as-a-judge Approach for Scalable Gender-Neutral Translation Evaluation,neither,,
DyST-XL: Dynamic Layout Planning and Content Control for Compositional Text-to-Video Generation,neither,,
Generative Product Recommendations for Implicit Superlative Queries,neither,,
WikiVideo: Article Generation from Multiple Videos,neither,,
Compile Scene Graphs with Reinforcement Learning,neither,,
Clinical ModernBERT: An efficient and long context encoder for biomedical text,neither,,
Hogwild! Inference: Parallel LLM Generation via Concurrent Attention,neither,,
OmniSVG: A Unified Scalable Vector Graphics Generation Model,neither,,
LMM4LMM: Benchmarking and Evaluating Large-multimodal Image Generation with LMMs,neither,,
GigaTok: Scaling Visual Tokenizers to 3 Billion Parameters for Autoregressive Image Generation,neither,,
Towards LLM Agents for Earth Observation,neither,,
Meta-Evaluating Local LLMs: Rethinking Performance Metrics for Serious Games,neither,,
Propaganda via AI? A Study on Semantic Backdoors in Large Language Models,neither,,
Chain of Correction for Full-text Speech Recognition with Large Language Models,neither,,
TDBench: Benchmarking Vision-Language Models in Understanding Top-Down Images,neither,,
Frontier AI's Impact on the Cybersecurity Landscape,neither,,
Code Generation with Small Language Models: A Deep Evaluation on Codeforces,neither,,
BASIR: Budget-Assisted Sectoral Impact Ranking -- A Dataset for Sector Identification and Performance Prediction Using Language Models,neither,,
Everything You Wanted to Know About LLM-based Vulnerability Detection But Were Afraid to Ask,neither,,
Paper2Code: Automating Code Generation from Scientific Papers in Machine Learning,neither,,
VideoChat-R1: Enhancing Spatio-Temporal Perception via Reinforcement Fine-Tuning,neither,,
MovSAM: A Single-image Moving Object Segmentation Framework Based on Deep Thinking,neither,,
FamilyTool: A Multi-hop Personalized Tool Use Benchmark,neither,,
Enhancing Player Enjoyment with a Two-Tier DRL and LLM-Based Agent System for Fighting Games,neither,,
AI Awareness,neither,,
Inference-Time Scaling for Generalist Reward Modeling,neither,,
Artificial Intelligence for Software Architecture: Literature Review and the Road Ahead,neither,,
The KL3M Data Project: Copyright-Clean Training Resources for Large Language Models,neither,,
M1: Towards Scalable Test-Time Compute with Mamba Reasoning Models,neither,,
GUI-R1 : A Generalist R1-Style Vision-Language Action Model For GUI Agents,neither,,
The Code Barrier: What LLMs Actually Understand?,neither,,
Efficient Process Reward Model Training via Active Learning,neither,,
Low-hallucination Synthetic Captions for Large-Scale Vision-Language Model Pre-training,neither,,
Mitigating Societal Cognitive Overload in the Age of AI: Challenges and Directions,neither,,
"Lahlou, Salem",neither,,
Design Topological Materials by Reinforcement Fine-Tuned Generative Model,neither,,
An Empirically Grounded Identifiability Theory Will Accelerate Self-Supervised Learning Research,neither,,
Deceptive Automated Interpretability: Language Models Coordinating to Fool Oversight Systems,neither,,
CAReDiO: Cultural Alignment of LLM via Representativeness and Distinctiveness Guided Data Optimization,neither,,
The Big Send-off: High Performance Collectives on GPU-based Supercomputers,neither,,
PARD: Accelerating LLM Inference with Low-Cost PARallel Draft Model Adaptation,neither,,
Secure Multifaceted-RAG for Enterprise: Hybrid Knowledge Retrieval with Security Filtering,neither,,
"Steering the CensorShip: Uncovering Representation Vectors for LLM ""Thought"" Control",neither,,
GTR: Graph-Table-RAG for Cross-Table Question Answering,neither,,
Systematic Evaluation of Large Vision-Language Models for Surgical Artificial Intelligence,neither,,
Could AI Trace and Explain the Origins of AI-Generated Images and Text?,neither,,
Adaptive Elicitation of Latent Information Using Natural Language,neither,,
Agent Guide: A Simple Agent Behavioral Watermarking Framework,neither,,
Type-Constrained Code Generation with Language Models,neither,,
Acquire and then Adapt: Squeezing out Text-to-Image Model for Image Restoration,neither,,
A Self-Improving Coding Agent,neither,,
Nemotron-H: A Family of Accurate and Efficient Hybrid Mamba-Transformer Models,neither,,
Existing Industry Practice for the EU AI Act's General-Purpose AI Code of Practice Safety and Security Measures,neither,,
PhenoAssistant: A Conversational Multi-Agent AI System for Automated Plant Phenotyping,neither,,
OpenThaiGPT 1.6 and R1: Thai-Centric Open Source and Reasoning Large Language Models,neither,,
Emerging Cyber Attack Risks of Medical AI Agents,neither,,
MoE-Lens: Towards the Hardware Limit of High-Throughput MoE LLM Serving Under Resource Constraints,neither,,
Introducing Large Language Models as the Next Challenging Internet Traffic Source,neither,,
Can LLMs Classify CVEs? Investigating LLMs Capabilities in Computing CVSS Vectors,neither,,
QLLM: Do We Really Need a Mixing Network for Credit Assignment in Multi-Agent Reinforcement Learning?,neither,,
AI for the Open-World: the Learning Principles,neither,,
"Zhang, Jianyu",neither,,
SWE-Synth: Synthesizing Verifiable Bug-Fix Data to Enable Large Language Models in Resolving Real-World Bugs,neither,,
LeetCodeDataset: A Temporal Dataset for Robust Evaluation and Efficient Training of Code LLMs,neither,,
The Sparse Frontier: Sparse Attention Trade-offs in Transformer LLMs,neither,,
VLM-based Prompts as the Optimal Assistant for Unpaired Histopathology Virtual Staining,neither,,
Policy Optimization Algorithms in a Unified Framework,neither,,
aiXamine: Simplified LLM Safety and Security,neither,,
POLYRAG: Integrating Polyviews into Retrieval-Augmented Generation for Medical Applications,neither,,
ReCIT: Reconstructing Full Private Data from Gradient in Parameter-Efficient Fine-Tuning of Large Language Models,neither,,
RoboAct-CLIP: Video-Driven Pre-training of Atomic Action Understanding for Robotics,neither,,
Evaluating Compact LLMs for Zero-Shot Iberian Language Tasks on End-User Devices,neither,,
SkillFlow: Efficient Skill and Code Transfer Through Communication in Adapting AI Agents,neither,,
Can Large Language Models Become Policy Refinement Partners? Evidence from China's Social Security Studies,neither,,
REAL: Benchmarking Autonomous Agents on Deterministic Simulations of Real Websites,neither,,
Param$Δ$ for Direct Weight Mixing: Post-Train Large Language Model at Zero Cost,neither,,
Compass-V2 Technical Report,neither,,
"Maria, Sophia",neither,,
BRIDGE: Benchmarking Large Language Models for Understanding Real-world Clinical Practice Text,neither,,
Self-Steering Language Models,neither,,
"The Bitter Lesson Learned from 2,000+ Multilingual Benchmarks",neither,,
SciSciGPT: Advancing Human-AI Collaboration in the Science of Science,neither,,
MGS: Markov Greedy Sums for Accurate Low-Bitwidth Floating-Point Accumulation,neither,,
Cost-of-Pass: An Economic Framework for Evaluating Language Models,neither,,
Balancing Engagement and Polarization: Multi-Objective Alignment of News Content Using LLMs,neither,,
Neural Approaches to SAT Solving: Design Choices and Interpretability,neither,,
Algorithm Discovery With LLMs: Evolutionary Search Meets Reinforcement Learning,neither,,
Revealing the Intrinsic Ethical Vulnerability of Aligned Large Language Models,neither,,
Kimi-VL Technical Report,neither,,
MARFT: Multi-Agent Reinforcement Fine-Tuning,neither,,
Wireless Large AI Model: Shaping the AI-Native Future of 6G and Beyond,neither,,
MAGI: Multi-Agent Guided Interview for Psychiatric Assessment,neither,,
Comparing Uncertainty Measurement and Mitigation Methods for Large Language Models: A Systematic Review,neither,,
LEAM: A Prompt-only Large Language Model-enabled Antenna Modeling Method,neither,,
AutoJudge: Judge Decoding Without Manual Annotation,neither,,
LLMs Do Not Have Human-Like Working Memory,neither,,
MegaMath: Pushing the Limits of Open Math Corpora,neither,,
Steering Prosocial AI Agents: Computational Basis of LLM's Decision Making in Social Simulation,neither,,
a1: Steep Test-time Scaling Law via Environment Augmented Generation,neither,,
Taming the Titans: A Survey of Efficient LLM Inference Serving,neither,,
AutoP2C: An LLM-Based Agent Framework for Code Repository Generation from Multimodal Content in Academic Papers,neither,,
From Aesthetics to Human Preferences: Comparative Perspectives of Evaluating Text-to-Music Systems,neither,,
AD-GPT: Large Language Models in Alzheimer's Disease,neither,,
DeepResearcher: Scaling Deep Research via Reinforcement Learning in Real-world Environments,neither,,
How Deep Do Large Language Models Internalize Scientific Literature and Citation Practices?,neither,,
Do Two AI Scientists Agree?,neither,,
Noiser: Bounded Input Perturbations for Attributing Large Language Models,neither,,
"Wang, Kangyu",neither,,
Towards Understanding Camera Motions in Any Video,neither,,
Adaptra: Straggler-Resilient Hybrid-Parallel Training with Pipeline Adaptation,neither,,
BrowseComp-ZH: Benchmarking Web Browsing Ability of Large Language Models in Chinese,neither,,
YourBench: Easy Custom Evaluation Sets for Everyone,neither,,
KeyDiff: Key Similarity-Based KV Cache Eviction for Long-Context LLM Inference in Resource-Constrained Environments,neither,,
Collaborative Learning of On-Device Small Model and Cloud-Based Large Model: Advances and Future Directions,neither,,
High-Throughput LLM inference on Heterogeneous Clusters,neither,,
A thorough benchmark of automatic text classification: From traditional approaches to large language models,neither,,
Assessing Judging Bias in Large Reasoning Models: An Empirical Study,neither,,
How to Detect and Defeat Molecular Mirage: A Metric-Driven Benchmark for Hallucination in LLM-based Molecular Comprehension,neither,,
Antidistillation Sampling,neither,,
SortBench: Benchmarking LLMs based on their ability to sort lists,neither,,
"Herbold, Steffen",neither,,
MIEB: Massive Image Embedding Benchmark,neither,,
EMAFusion: A Self-Optimizing System for Seamless LLM Selection and Integration,neither,,
Do You Really Need Public Data? Surrogate Public Data for Differential Privacy on Tabular Data,neither,,
DRC: Enhancing Personalized Image Generation via Disentangled Representation Composition,neither,,
A Novel Approach To Implementing Knowledge Distillation In Tsetlin Machines,neither,,
"Kinateder, Calvin",neither,,
A comprehensive review of remote sensing in wetland classification and mapping,neither,,
ImPart: Importance-Aware Delta-Sparsification for Improved Model Compression and Merging in LLMs,neither,,
From Reflection to Perfection: Scaling Inference-Time Optimization for Text-to-Image Diffusion Models via Reflection Tuning,neither,,
TTRL: Test-Time Reinforcement Learning,neither,,
Team ACK at SemEval-2025 Task 2: Beyond Word-for-Word Machine Translation for English-Korean Pairs,neither,,
Applications of natural language processing and large language models in materials discovery,neither,,
"Hoang Ha, Huy",neither,,
Reinforcement Learning Outperforms Supervised Fine-Tuning: A Case Study on Audio Question Answering,neither,,
MentalChat16K: A Benchmark Dataset for Conversational Mental Health Assistance,neither,,
From Panels to Prose: Generating Literary Narratives from Comics,neither,,
Three tiers of computation in transformers and in brain architectures,neither,,
TokenCarve: Information-Preserving Visual Token Compression in Multimodal Large Language Models,neither,,
PredicateFix: Repairing Static Analysis Alerts with Bridging Predicates,neither,,
Unveiling Pitfalls: Understanding Why AI-driven Code Agents Fail at GitHub Issue Resolution,neither,,
Reflect-DiT: Inference-Time Scaling for Text-to-Image Diffusion Transformers via In-Context Reflection,neither,,
Towards Understanding the Safety Boundaries of DeepSeek Models: Evaluation and Findings,neither,,
MAS-GPT: Training LLMs to Build LLM-based Multi-Agent Systems,neither,,
FlexInfer: Breaking Memory Constraint via Flexible and Efficient Offloading for On-Device LLM Inference,neither,,
Alignment for Efficient Tool Calling of Large Language Models,neither,,
"Forootani, Ali",neither,,
MoLAE: Mixture of Latent Experts for Parameter-Efficient Language Models,neither,,
LLM & HPC:Benchmarking DeepSeek's Performance in High-Performance Computing Tasks,neither,,
Personalized Generation In Large Model Era: A Survey,neither,,
IterPref: Focal Preference Learning for Code Generation via Iterative Debugging,neither,,
VMBench: A Benchmark for Perception-Aligned Video Motion Generation,neither,,
Monitoring Reasoning Models for Misbehavior and the Risks of Promoting Obfuscation,neither,,
Improving Autoregressive Image Generation through Coarse-to-Fine Token Prediction,neither,,
CaKE: Circuit-aware Editing Enables Generalizable Knowledge Learners,neither,,
Video-T1: Test-Time Scaling for Video Generation,neither,,
A Comprehensive Survey on Long Context Language Modeling,neither,,
Opportunities and Challenges of Frontier Data Governance With Synthetic Data,neither,,
Position: Interactive Generative Video as Next-Generation Game Engine,neither,,
Visual-RFT: Visual Reinforcement Fine-Tuning,neither,,
Large-Scale Data Selection for Instruction Tuning,neither,,
Benchmarking Large Language Models on Multiple Tasks in Bioinformatics NLP with Prompting,neither,,
General-Purpose Aerial Intelligent Agents Empowered by Large Language Models,neither,,
VenusFactory: A Unified Platform for Protein Engineering Data Retrieval and Language Model Fine-Tuning,neither,,
SCI-IDEA: Context-Aware Scientific Ideation Using Token and Sentence Embeddings,neither,,
Output Constraints as Attack Surface: Exploiting Structured Generation to Bypass LLM Safety Mechanisms,neither,,
Speculative Ad-hoc Querying,neither,,
Comparative Analysis of OpenAI GPT-4o and DeepSeek R1 for Scientific Text Categorization Using Prompt Engineering,neither,,
RiskAgent: Autonomous Medical AI Copilot for Generalist Risk Prediction,neither,,
HOFAR: High-Order Augmentation of Flow Autoregressive Transformers,neither,,
PharMolixFM: All-Atom Foundation Models for Molecular Modeling and Generation,neither,,
